run_date,org,item_code,week_number,start_week_date,recommended_total_qty
2025-04-16 11:12:02,P01,00950404,268,2025-02-08,0.0
2025-04-16 11:12:02,P01,00950404,269,2025-02-15,0.0
2025-04-16 11:12:02,P01,00950404,270,2025-02-22,0.0
2025-04-16 11:12:02,P01,00950404,271,2025-03-01,0.0
2025-04-16 11:12:02,P01,00951212,268,2025-02-08,0.0
2025-04-16 11:12:02,P01,00951212,269,2025-02-15,0.0
2025-04-16 11:12:02,P01,00951212,270,2025-02-22,0.0
2025-04-16 11:12:02,P01,00951212,271,2025-03-01,0.0
2025-04-16 11:12:02,P01,02050300,268,2025-02-08,0.0
2025-04-16 11:12:02,P01,02050300,269,2025-02-15,1.324532389640808
2025-04-16 11:12:02,P01,02050300,270,2025-02-22,68.41395568847656
2025-04-16 11:12:02,P01,02050300,271,2025-03-01,140.88766479492188
2025-04-16 11:12:02,P01,02150453,268,2025-02-08,24.139450073242188
2025-04-16 11:12:02,P01,02150453,269,2025-02-15,8.541824340820312
2025-04-16 11:12:02,P01,02150453,270,2025-02-22,1.2190313339233398
2025-04-16 11:12:02,P01,02150453,271,2025-03-01,0.0
2025-04-16 11:12:02,P01,04571111,268,2025-02-08,0.0
2025-04-16 11:12:02,P01,04571111,269,2025-02-15,0.0
2025-04-16 11:12:02,P01,04571111,270,2025-02-22,0.0
2025-04-16 11:12:02,P01,04571111,271,2025-03-01,0.0
2025-04-16 11:12:02,P01,10331111,268,2025-02-08,28.035184860229492
2025-04-16 11:12:02,P01,10331111,269,2025-02-15,5.9544806480407715
2025-04-16 11:12:02,P01,10331111,270,2025-02-22,4.1114726066589355
2025-04-16 11:12:02,P01,10331111,271,2025-03-01,0.0
2025-04-16 11:12:02,P01,10431414,268,2025-02-08,0.0
2025-04-16 11:12:02,P01,10431414,269,2025-02-15,0.0
2025-04-16 11:12:02,P01,10431414,270,2025-02-22,0.0
2025-04-16 11:12:02,P01,10431414,271,2025-03-01,0.0
2025-04-16 11:12:02,P01,12590015,268,2025-02-08,2.140716314315796
2025-04-16 11:12:02,P01,12590015,269,2025-02-15,5.816001892089844
2025-04-16 11:12:02,P01,12590015,270,2025-02-22,1.1381385326385498
2025-04-16 11:12:02,P01,12590015,271,2025-03-01,0.0
2025-04-16 11:12:02,P01,13001410,268,2025-02-08,2.1191461086273193
2025-04-16 11:12:02,P01,13001410,269,2025-02-15,0.0
2025-04-16 11:12:02,P01,13001410,270,2025-02-22,0.0
2025-04-16 11:12:02,P01,13001410,271,2025-03-01,2.93414306640625
2025-04-16 11:12:02,P01,13003493,268,2025-02-08,0.0
2025-04-16 11:12:02,P01,13003493,269,2025-02-15,0.0
2025-04-16 11:12:02,P01,13003493,270,2025-02-22,0.0
2025-04-16 11:12:02,P01,13003493,271,2025-03-01,0.0
2025-04-16 11:12:02,P01,13004208,268,2025-02-08,23.955968856811523
2025-04-16 11:12:02,P01,13004208,269,2025-02-15,0.0
2025-04-16 11:12:02,P01,13004208,270,2025-02-22,10.369050979614258
2025-04-16 11:12:02,P01,13004208,271,2025-03-01,0.0
2025-04-16 11:12:02,P01,13009107,268,2025-02-08,0.0
2025-04-16 11:12:02,P01,13009107,269,2025-02-15,0.0
2025-04-16 11:12:02,P01,13009107,270,2025-02-22,0.0
2025-04-16 11:12:02,P01,13009107,271,2025-03-01,0.0
2025-04-16 11:12:02,P01,13102360,268,2025-02-08,2.5235657691955566
2025-04-16 11:12:02,P01,13102360,269,2025-02-15,8.578994750976562
2025-04-16 11:12:02,P01,13102360,270,2025-02-22,0.0
2025-04-16 11:12:02,P01,13102360,271,2025-03-01,0.0
2025-04-16 11:12:02,P01,14000239,268,2025-02-08,12.919941902160645
2025-04-16 11:12:02,P01,14000239,269,2025-02-15,0.0
2025-04-16 11:12:02,P01,14000239,270,2025-02-22,2.041682720184326
2025-04-16 11:12:02,P01,14000239,271,2025-03-01,0.0
2025-04-16 11:12:02,P01,14000536,268,2025-02-08,0.0
2025-04-16 11:12:02,P01,14000536,269,2025-02-15,0.0
2025-04-16 11:12:02,P01,14000536,270,2025-02-22,0.0
2025-04-16 11:12:02,P01,14000536,271,2025-03-01,0.0
2025-04-16 11:12:02,P01,14000548,268,2025-02-08,0.0
2025-04-16 11:12:02,P01,14000548,269,2025-02-15,0.0
2025-04-16 11:12:02,P01,14000548,270,2025-02-22,0.0
2025-04-16 11:12:02,P01,14000548,271,2025-03-01,0.0
2025-04-16 11:12:02,P01,14002404,268,2025-02-08,0.0
2025-04-16 11:12:02,P01,14002404,269,2025-02-15,0.0
2025-04-16 11:12:02,P01,14002404,270,2025-02-22,0.0
2025-04-16 11:12:02,P01,14002404,271,2025-03-01,14.95724868774414
2025-04-16 11:12:02,P01,14002434,268,2025-02-08,0.0
2025-04-16 11:12:02,P01,14002434,269,2025-02-15,0.8229217529296875
2025-04-16 11:12:02,P01,14002434,270,2025-02-22,0.0
2025-04-16 11:12:02,P01,14002434,271,2025-03-01,38.58681869506836
2025-04-16 11:12:02,P01,14005545,268,2025-02-08,0.0
2025-04-16 11:12:02,P01,14005545,269,2025-02-15,0.0
2025-04-16 11:12:02,P01,14005545,270,2025-02-22,0.0
2025-04-16 11:12:02,P01,14005545,271,2025-03-01,0.0
2025-04-16 11:12:02,P01,14100493,268,2025-02-08,0.0
2025-04-16 11:12:02,P01,14100493,269,2025-02-15,0.0
2025-04-16 11:12:02,P01,14100493,270,2025-02-22,0.0
2025-04-16 11:12:02,P01,14100493,271,2025-03-01,0.0
2025-04-16 11:12:02,P01,14100547,268,2025-02-08,0.0
2025-04-16 11:12:02,P01,14100547,269,2025-02-15,0.0
2025-04-16 11:12:02,P01,14100547,270,2025-02-22,0.0
2025-04-16 11:12:02,P01,14100547,271,2025-03-01,0.0
2025-04-16 11:12:02,P01,14100695,268,2025-02-08,0.0
2025-04-16 11:12:02,P01,14100695,269,2025-02-15,0.0
2025-04-16 11:12:02,P01,14100695,270,2025-02-22,0.0
2025-04-16 11:12:02,P01,14100695,271,2025-03-01,0.0
2025-04-16 11:12:02,P01,15000166,268,2025-02-08,0.0
2025-04-16 11:12:02,P01,15000166,269,2025-02-15,0.49834710359573364
2025-04-16 11:12:02,P01,15000166,270,2025-02-22,0.0
2025-04-16 11:12:02,P01,15000166,271,2025-03-01,2.982017993927002
2025-04-16 11:12:02,P01,16001769,268,2025-02-08,1.206634521484375
2025-04-16 11:12:02,P01,16001769,269,2025-02-15,0.0
2025-04-16 11:12:02,P01,16001769,270,2025-02-22,0.11176101863384247
2025-04-16 11:12:02,P01,16001769,271,2025-03-01,0.0
2025-04-16 11:12:02,P01,17003468,268,2025-02-08,0.0
2025-04-16 11:12:02,P01,17003468,269,2025-02-15,0.0
2025-04-16 11:12:02,P01,17003468,270,2025-02-22,0.0
2025-04-16 11:12:02,P01,17003468,271,2025-03-01,0.0
2025-04-16 11:12:02,P01,18002350,268,2025-02-08,0.0
2025-04-16 11:12:02,P01,18002350,269,2025-02-15,0.0
2025-04-16 11:12:02,P01,18002350,270,2025-02-22,0.0
2025-04-16 11:12:02,P01,18002350,271,2025-03-01,0.0
2025-04-16 11:12:02,P01,18003176,268,2025-02-08,0.0
2025-04-16 11:12:02,P01,18003176,269,2025-02-15,171.1796875
2025-04-16 11:12:02,P01,18003176,270,2025-02-22,30.378528594970703
2025-04-16 11:12:02,P01,18003176,271,2025-03-01,0.0
2025-04-16 11:12:02,P01,18003802,268,2025-02-08,119.08899688720703
2025-04-16 11:12:02,P01,18003802,269,2025-02-15,279.73052978515625
2025-04-16 11:12:02,P01,18003802,270,2025-02-22,289.45819091796875
2025-04-16 11:12:02,P01,18003802,271,2025-03-01,502.9342346191406
2025-04-16 11:12:02,P01,19004458,268,2025-02-08,0.0
2025-04-16 11:12:02,P01,19004458,269,2025-02-15,0.0
2025-04-16 11:12:02,P01,19004458,270,2025-02-22,0.0
2025-04-16 11:12:02,P01,19004458,271,2025-03-01,0.0
2025-04-16 11:12:02,P01,19500460,268,2025-02-08,0.0
2025-04-16 11:12:02,P01,19500460,269,2025-02-15,2.2252871990203857
2025-04-16 11:12:02,P01,19500460,270,2025-02-22,2.2224318981170654
2025-04-16 11:12:02,P01,19500460,271,2025-03-01,0.0
2025-04-16 11:12:02,P01,32400012,268,2025-02-08,0.0
2025-04-16 11:12:02,P01,32400012,269,2025-02-15,2.1719353199005127
2025-04-16 11:12:02,P01,32400012,270,2025-02-22,0.9028462171554565
2025-04-16 11:12:02,P01,32400012,271,2025-03-01,0.0
2025-04-16 11:12:02,P01,38100704,268,2025-02-08,3.9065134525299072
2025-04-16 11:12:02,P01,38100704,269,2025-02-15,3.9065134525299072
2025-04-16 11:12:02,P01,38100704,270,2025-02-22,3.4589059352874756
2025-04-16 11:12:02,P01,38100704,271,2025-03-01,2.5113601684570312
2025-04-16 11:12:02,P01,39600300,268,2025-02-08,0.0
2025-04-16 11:12:02,P01,39600300,269,2025-02-15,1.1587889194488525
2025-04-16 11:12:02,P01,39600300,270,2025-02-22,0.8101943135261536
2025-04-16 11:12:02,P01,39600300,271,2025-03-01,0.0
2025-04-16 11:12:02,P01,39601000,268,2025-02-08,0.0
2025-04-16 11:12:02,P01,39601000,269,2025-02-15,0.8627037405967712
2025-04-16 11:12:02,P01,39601000,270,2025-02-22,0.0
